target_index,variant,solver_status,success,pos_err_m,rot_err_rad,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
10,arm_cold,not_converged,false,0.042530782253426,0.134411630913211,-0.586421476473001,-5.314267929188809,1.620451114450772,-0.504557649353648,-0.023171817355515,5.251010011246751
10,arm_restarts,ok,true,0.000000337857263,0.000000546877896,5.477604522248630,-5.184225915278375,1.971106190307515,-2.955223597102414,6.066880004093324,-5.208635104721329
10,k_cold,not_converged,false,,,,,,,,
10,k_restarts,not_converged,false,,,,,,,,
11,arm_cold,ok,true,0.000000573627162,0.000000002090351,-0.612040957046840,-3.081337054134427,0.777409881856687,-0.872279571955436,-1.629422524602901,1.855770950231975
11,arm_restarts,ok,true,0.000000573627162,0.000000002090351,-0.612040957046840,-3.081337054134427,0.777409881856687,-0.872279571955436,-1.629422524602901,1.855770950231975
11,k_cold,not_converged,false,,,,,,,,
11,k_restarts,not_converged,false,,,,,,,,
12,arm_cold,ok,true,0.000004796564769,0.000002204266850,-1.880690520727354,-3.226341167830105,2.453059612085690,-0.678955999306841,-3.164868779277684,-0.451266152871816
12,arm_restarts,ok,true,0.000004796564769,0.000002204266850,-1.880690520727354,-3.226341167830105,2.453059612085690,-0.678955999306841,-3.164868779277684,-0.451266152871816
12,k_cold,ok,true,0.000079737086467,0.000194260908531,-1.251323080724440,-2.491646685949204,2.315272817302270,0.215571889911883,-2.514752784149567,1.032739938527299
12,k_restarts,ok,true,0.000079737086467,0.000194260908531,-1.251323080724440,-2.491646685949204,2.315272817302270,0.215571889911883,-2.514752784149567,1.032739938527299
13,arm_cold,ok,true,0.000082490879633,0.000592030035112,-2.169624414841185,-2.264703763127311,2.735904352637265,0.255423515128569,-2.237325595266879,-0.212679484571946
13,arm_restarts,ok,true,0.000082490879633,0.000592030035112,-2.169624414841185,-2.264703763127311,2.735904352637265,0.255423515128569,-2.237325595266879,-0.212679484571946
13,k_cold,ok,true,0.000053515350469,0.000349759627659,-2.171755414195908,-2.265493106034142,2.736216659754932,0.257234651731124,-2.238747486931515,-0.210650173606565
13,k_restarts,ok,true,0.000053515350469,0.000349759627659,-2.171755414195908,-2.265493106034142,2.736216659754932,0.257234651731124,-2.238747486931515,-0.210650173606565
